Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
1999,6072346,285070,16169,268902,,,472475,229607,64371,51698,95953,15098,15748,,1516063,543112,54396,217636,154658,51578,439373,,55311,63246,11681,19215,408,31942,,,1255172,1127108,66354,48271,,13439,1331266,205483,213510,378065,36644,136602,89121,268250,,3591,183342,55785,125877,1680,,,149033,3405,102574,8721,160,701,,25631,,7842,66824,23655,2299,1800,6,30098,917,8048,,,749854,263603,91488,,,20718,374045,,,Geneva
2000,6190701,281442,15576,265866,,,514383,266301,66252,53957,96515,15629,15729,,1537040,550670,56103,230454,154644,26222,434590,,84358,71460,15969,21464,186,33841,,,1319298,1183949,70010,51317,,14023,1382235,231367,236006,398595,36595,121045,92876,262496,,3256,203069,67135,133057,2877,,,132225,1366,91675,4242,1849,1334,,23030,,8731,132288,25272,2260,2051,1084,30411,62290,8921,,,617259,100474,94871,,,24400,397514,,,Geneva
2001,6870259,539894,16313,523580,,,498413,242862,68826,57055,101107,15403,13161,,1660306,566759,59956,256704,161197,30518,525467,,59706,76805,12855,28454,462,35035,,,1493899,1340122,84834,55529,,13414,1449822,298232,301126,357806,35963,100378,95894,257207,,3216,214801,70203,141880,2718,,,135998,2047,96464,8004,471,1695,,16975,,10343,217957,27337,2362,2346,1115,16542,158880,9375,,,582365,66088,103461,,,28090,384724,,,Geneva
2002,7114107,428952,33238,395715,,,537736,256825,72012,55458,122676,16902,13862,,1746060,595352,58943,276550,150665,29777,570628,,64145,87585,13320,29659,444,44103,60,,1603636,1445365,87658,50418,,20196,1491849,252101,331656,369248,60115,102687,115541,257285,,3216,264948,68597,194220,2132,,,134197,1646,87957,11136,103,1756,,19809,,11790,262659,26035,4240,4076,200,22731,196491,8885,,,556484,68689,116908,,,43252,327635,,,Geneva
2003,7655619,468823,29345,439478,,,576269,278768,78035,64186,123371,18052,13856,,1855384,613925,68759,231192,165472,37578,673170,,65289,85847,14852,26533,1083,43380,,,1670110,1504665,91851,62720,,10875,1566966,248783,336944,399623,45831,120789,106224,304756,,4016,325343,72625,250180,2538,,,165613,1337,105324,11031,436,2362,,25522,,19601,437042,30841,4518,3569,13,15405,374280,8415,,,504223,57339,132204,,,24515,290165,,,Geneva
2004,7731441,422439,24076,398363,,,578959,276411,81438,65310,125166,17535,13098,,1900882,608673,69708,225288,168166,29720,719851,,79477,85139,12333,26057,1202,45547,,,1689484,1524184,87430,65583,,12286,1649537,252008,367358,394810,33074,159838,90245,351204,,1000,335990,78085,252748,5157,,,154288,1426,91161,9357,8926,3982,,15546,,23889,357288,33295,6783,4944,1148,17801,287897,5421,,,557435,61998,138182,,,22074,335180,,,Geneva
2005,8022131,449475,27856,421619,,,591734,283566,87272,67300,133974,7713,11910,,1922494,594483,75837,268362,169136,26328,688963,,99385,71557,15801,27011,2287,26457,,,1768143,1592900,88017,76292,,10935,1722189,247360,378748,400469,31653,200781,91909,371269,,,291207,123016,165221,2971,,,161037,2719,86434,16813,7035,4033,,20161,,23842,412005,32211,7335,5068,1341,16843,343105,6101,,,632290,93803,152573,,,33547,352366,,0,Geneva
2006,8119657,461239,28715,432524,,,578899,288496,89097,65564,117788,7564,10389,,1951091,585882,75820,292342,169569,24420,711013,,92045,78455,17210,27793,2907,30544,,,1746972,1568799,87341,79985,,10847,1757522,231365,402198,402185,46520,194926,94678,385651,,0,309045,136592,170618,1835,,,160401,2149,100165,10837,9503,3818,,12811,,21117,390470,30026,7434,5308,485,42899,298888,5430,,,685563,146571,159095,,,14492,365405,,,Geneva
2007,8176502,446664,24274,422390,,,611696,306582,91648,66739,125781,8918,12027,,1974077,603762,79685,310028,169832,21910,700948,,87911,91745,17082,34749,2083,37831,,,1687115,1500854,91441,82875,,11945,1923475,269687,420656,429486,64369,172291,136018,423586,,7382,391275,145516,243880,1879,,,182650,1692,128625,13485,10923,3986,,10801,,13139,193972,32246,7680,4789,485,13872,128116,6785,,,673833,119084,177935,,,14404,362409,,,Geneva
2008,8430008,449288,25407,423881,,,653251,326397,101367,74036,129323,9022,13106,,2334411,643781,82505,325448,176889,10351,841476,169313,84649,105778,19272,29101,3278,54127,,,1218777,880695,118075,88025,115230,16751,1576547,254491,237973,259853,50689,143110,139848,490583,,,556188,239813,316285,90,,,79515,,20958,17028,6797,2551,85,9748,,22348,364591,28056,7913,3158,,51077,261332,13056,,,1091662,236201,144306,334234,,13803,363119,,,Geneva
2009,8695258,492029,30974,461055,,,684662,346765,102184,81348,132233,7434,14697,,2385804,638301,99025,323858,182104,9532,881951,177695,73339,116736,17897,33310,5487,59772,270,,1284907,935380,128768,89414,115200,16145,1651312,251671,297310,252554,77460,125502,86265,544948,,15601,465770,52712,408273,4786,,,89739,,32439,12704,12640,2419,120,11641,,17775,364432,29644,12232,3447,625,49260,236085,33138,,,1159867,327655,157123,335493,,12294,327302,,,Geneva
2010,8636049,537762,30653,507109,,,705913,363983,101209,82175,139707,1511,17328,,2475795,649411,130291,350222,189840,2468,909533,167321,76710,125804,17380,37081,5927,64791,625,,1350367,1005944,124114,88173,115000,17137,1729398,278451,310328,285346,70332,134034,103325,531126,,16456,526373,101387,418323,6663,,,81250,,29445,8663,2180,7460,,14685,,18817,86349,28407,10216,3203,170,26995,,17359,,,1017037,210483,169363,321352,,131,315707,,,Geneva
2011,8744033,596600,25637,570963,,,824960,407834,129487,160406,113291,3027,10914,,2358870,693644,128518,220063,203521,915,842340,183429,86442,97196,12108,33124,6226,45110,628,,1359654,1028247,131651,70663,115000,14092,1841457,280723,335774,293020,115717,133553,105774,561690,,15205,492254,108811,377348,6095,,,106463,,24767,10952,2201,37431,134,10008,,20969,96219,34155,1432,228,733,44372,,15300,,,970359,160272,176872,319152,,162,313900,,,Geneva
2012,9551692,1380678,32035,1348643,,,760543,354130,143889,139758,109195,404,13166,,2398543,731692,128394,180222,226349,22640,863509,187590,58148,97646,12184,41563,3792,40073,34,,1286620,865065,150386,62128,188926,20115,2002186,267343,334999,318438,157383,123266,129304,654495,,16958,497936,208146,286672,3117,,,104927,,21806,9284,5378,21721,11193,10994,,24552,89416,36137,1599,311,,43483,,7886,,,933197,79635,190171,351323,,183,311884,,,Geneva
2013,8908583,743283,33774,704656,4853,,788575,345508,157362,154466,119170,2389,9680,,2427784,720616,133572,212058,209741,16683,878540,195559,61014,87521,15476,34292,5792,31901,60,,1335044,901218,154447,62329,188675,28375,1850958,274612,341879,174910,157250,111223,105829,669005,,16251,493810,160843,332967,,,,119057,,22604,8552,3352,33857,21063,4483,,25146,135993,32732,,,2059,33140,,68061,,,926558,86933,202949,366034,,202,270439,,,Geneva
2014,8815400,579986,31612,544615,3759,,812296,345364,160080,174537,119625,2234,10456,,2381777,669612,134781,219100,208761,15856,871403,202537,59727,97454,17092,40726,6087,33049,500,,1346544,904278,159319,68619,190137,24191,1974199,280433,341833,250024,168712,120027,114034,682335,,16800,493621,116012,377610,,,,107282,,21294,8305,278,38746,13756,4610,,20293,79520,31661,,,2110,29456,,16293,,,942721,95003,208981,377453,,407,260877,,,Geneva
2015,9005709,529908,34433,493229,2246,,840706,348328,171331,178424,130279,1001,11343,,2528773,702050,134535,212736,211083,15367,957310,225556,70135,98222,19357,41717,4545,32303,300,,1374071,921158,167411,69046,190281,26174,2013343,291808,349667,256552,176913,115740,92691,713449,,16523,529844,141439,388405,,,,104380,,20789,7794,296,33561,11895,4427,,25617,74156,32174,,,2265,24991,,14726,,,912306,91279,211175,363243,,390,246219,,,Geneva
2016,9012651,528884,32935,492689,3260,,819188,352428,167889,170920,113441,1008,13501,,2570258,681152,137554,251011,245270,17666,938193,247564,51848,112223,17495,49199,4650,40730,150,,1321212,857636,170590,76583,188127,28276,2089863,326379,357244,267722,174508,95879,85407,765183,,17540,516775,112655,404120,,,,99938,,10172,6292,225,32188,22446,3172,,25443,67002,32206,,,2411,23332,,9052,,,887309,87290,213043,352916,,309,233751,,,Geneva
2017,9320133,551710,33421,511267,7022,,855957,371234,184400,162213,120760,1047,16303,,2595265,688950,143446,249183,250093,19743,940566,249269,54016,116861,17784,40199,6106,52652,120,,1398298,924516,181005,78241,188848,25688,2165881,330217,370003,268933,187939,92782,88915,810875,,16217,583849,125242,458607,,,,91954,,10324,3143,172,28451,22254,80,,27529,89907,34327,,,2128,23804,,29648,,,870452,87923,218262,368165,,260,195843,,,Geneva
2018,9564340,706689,39419,653442,13827,,881902,381368,189806,160384,125493,1722,23129,,2634695,693711,140882,243773,238662,16442,951743,250829,98653,139772,16795,53947,5763,63267,,,1378967,911223,192070,73026,189059,13590,2176392,341272,371312,257158,178726,82292,83328,845671,,16632,556323,131433,399899,24992,,,90353,,13998,3139,182,30612,15377,15,,27031,89595,34260,,,350,24446,,30539,,,909651,81897,227688,412337,,237,187492,,,Geneva
2019,9817278,589978,35674,535028,19276,,942775,399307,208598,168357,128116,1812,36586,,2706287,732847,154975,231742,239759,14834,971444,250973,109714,131364,14161,53410,4923,58870,,,1473097,974292,218689,73926,191870,14320,2279130,352053,386262,264930,192231,80960,86419,900049,,16226,575015,144378,405724,24913,,,96458,,11808,3279,212,36087,18086,32,,26953,92773,33131,,,350,26129,,33164,,,930402,82715,234808,415798,,197,196884,,,Geneva
2020,15851322,5908698,30324,5861318,17056,,943193,402409,193679,179816,134042,999,32247,,2769387,740040,190381,238272,242837,14825,987881,251496,103655,145993,14828,68138,5338,57669,20,,1679780,1171445,225790,66789,201840,13916,2506551,528736,396526,263066,186611,117369,82708,915664,,15872,611892,143385,443408,25098,,,98749,,12194,2882,208,36603,19329,23,,27511,195790,35135,,,4500,125967,,30188,,,991290,75398,245843,396280,,20627,253142,,,Geneva
1990,510959,23647,2769,20878,,,44790,12174,5671,1186,6352,88,19318,,108550,58879,1503,24349,12026,520,8307,,2967,10659,2704,1672,42,2185,4057,,37319,31470,110,1561,,4178,37814,362,10781,18831,1785,1006,654,3895,,501,166803,163295,3508,,,,14234,1827,5930,551,1157,90,,,,4680,53390,42119,7415,1587,1137,141,,992,,,13751,532,,1006,,5514,6699,,,Jura
1991,603633,25544,2613,22931,,,42663,13542,6376,1458,6371,658,14258,,117135,62703,1500,27014,13038,610,8962,,3309,11514,2515,2140,79,2347,4432,,47365,40624,150,1962,,4629,43778,332,12163,21943,2092,1821,576,4140,,710,220683,215906,4776,,,,14120,1219,6059,163,1032,265,,254,,5128,62348,49478,8022,1591,1476,188,,1593,,,18483,871,,1064,,7438,9110,,,Jura
1992,649191,26029,2796,23233,,,39757,14195,6855,1762,6903,61,9982,,124749,65128,2658,29068,13944,1207,9455,,3289,12299,2536,1981,191,2858,4733,,51922,44229,185,2333,,5175,48618,479,11449,25182,2196,2160,592,5802,,759,245983,240051,5932,,,,11491,1011,3743,666,1403,74,,1,,4594,65172,50829,8317,1666,829,1239,,2292,,,23171,874,,1218,,9023,12056,,,Jura
1993,695689,25757,2712,23045,,,35583,13571,6526,525,7842,40,7079,,127156,68042,2870,27921,13518,1188,9757,,3860,11094,2556,1314,107,2885,4233,,44623,37838,3150,2057,,1579,74619,3090,13151,27202,2338,20938,880,6280,,740,266568,261759,4779,,30,,15583,1390,4898,1180,553,835,,154,,6572,67249,54578,9106,1326,1084,659,,496,,,27457,1857,,1486,,8013,16102,,,Jura
1994,738412,25779,2769,23010,,,36054,14460,6585,868,7762,98,6283,,160695,83425,3038,45010,14233,1126,10205,,3659,18422,5758,1861,141,6133,4530,,51921,44745,3591,2142,,1443,70948,2623,14956,27707,2123,14699,663,7339,,839,253882,249101,4502,,279,,12377,956,3538,2571,315,902,,156,,3940,77103,65568,8163,1332,1280,,,759,,,31231,2236,,3420,,8525,17049,,,Jura
1995,670919,27279,2998,24281,,,38366,14480,7037,874,7441,30,8504,,136681,74569,3077,29755,14573,1038,10324,,3346,14888,5418,1969,70,3314,4117,,53624,46369,3633,2254,,1368,66401,7514,14115,28237,2019,7077,905,5831,,703,213629,207155,6201,,274,,10145,422,2186,1286,522,1009,,160,,4560,77696,65370,6086,1301,1244,,2892,804,,,32209,2007,,2252,,8229,19722,,,Jura
1996,706097,29240,2953,26287,,,34869,15681,7123,1041,6838,30,4156,,148623,77202,2760,37644,15485,987,10790,,3755,18180,8973,1847,235,3364,3761,,57434,51297,2861,1785,,1491,91548,25726,13186,25660,2258,16492,1412,5904,,910,185487,181796,3386,,305,,16854,1295,6725,2429,386,795,,179,,5045,91042,80025,7554,1321,1237,,,905,,,32819,3358,,2117,,7420,19923,,,Jura
1997,767944,29225,2857,26369,,,36672,16376,7894,1088,7130,46,4139,,156673,76334,3913,44744,15538,1158,11449,,3537,12948,4907,1483,139,2821,3599,,58987,52114,3211,2004,,1658,104263,26375,13428,25738,2958,27760,1137,6020,,845,188860,185825,2783,,253,,15233,1020,6146,1615,113,917,,615,,4807,121765,81711,6703,1011,1723,99,29988,530,,,43317,2770,,1936,,7563,31048,,,Jura
1998,737930,33324,3050,30273,,,36368,16631,7964,1192,8156,25,2400,,151435,76085,3650,38357,15609,5692,8358,,3685,11466,2434,2459,158,2741,3674,,66875,59172,2875,2859,,1969,100390,28528,14392,25977,2288,20339,1385,6743,,737,192019,189857,1823,,338,,14735,1982,5418,311,489,828,,206,,5499,88695,78651,6923,1071,1356,,,693,,,42624,2299,,1550,,8273,30502,,,Jura
1999,698562,33525,3029,30497,,,38556,17142,9180,1505,8870,,1858,,150890,79224,3224,33128,15741,6917,8801,,3855,11489,2374,2630,151,2979,3354,,57098,49356,3817,2219,,1706,99333,31454,15462,27298,2686,13287,1263,7314,,569,157718,154696,2775,,247,,14878,3783,3318,804,711,1174,,269,,4820,99821,87979,7122,1145,1102,,,2474,,,35255,2598,,1118,,8151,23387,,,Jura
2000,695745,33919,3353,30567,,,38254,18196,8115,1790,8150,,2003,,157154,81302,3530,33575,16376,8926,9525,,3920,12196,2614,3618,,2640,3323,,61279,51334,4260,3991,,1695,96014,31836,14232,27800,2644,12131,1444,5359,,567,142228,138310,3599,,318,,15464,2896,4249,688,706,1309,,292,,5325,106631,89850,11791,1064,2087,,,1840,,,32607,2358,,1017,,8278,20954,,,Jura
2001,751100,33367,3498,29869,,,41008,19867,8036,1798,9198,,2109,,165829,84504,4619,35930,17211,3995,14036,,5534,12953,2734,3124,239,3358,3498,,67685,59177,3649,3074,,1784,98124,32559,15306,28462,2539,8759,1491,8482,,527,175100,172179,2605,,317,,14352,2852,3568,803,454,1396,,408,,4870,110356,95510,10085,1239,2415,,,1107,,,32327,2524,,974,,8999,19830,,,Jura
2002,798566,37329,3728,33601,,,41491,19588,7517,1706,11232,,1448,,175862,86607,4918,38415,18615,4037,14001,,9269,15531,4064,3431,302,4110,3624,,72930,64119,4367,2551,,1894,104955,37317,14523,29297,2859,9791,1512,9314,,342,187591,184224,3061,,305,,14422,1388,3748,1040,266,1572,,933,,5476,114330,100708,8597,1084,1930,,,2012,,,34125,1423,,1532,,10704,20465,,,Jura
2003,810806,35727,3356,32372,,,40736,19785,7743,1755,10285,,1167,,189012,89390,7580,44103,20728,6658,10064,,10488,15239,3368,4058,200,4051,3562,,83134,73536,4378,3419,,1801,112687,34661,18538,31895,2926,12668,1430,9690,,878,172692,169914,2463,,315,,15563,1596,3092,1102,1000,1475,,883,,6415,113424,100827,8697,1033,1266,,,1603,,,32593,1822,,873,,11291,18607,,,Jura
2004,823757,35294,3417,31877,,,39448,19064,7829,1270,10202,,1083,,191467,89942,6079,49382,19289,6191,10038,,10547,17530,4039,5263,441,4068,3720,,84326,75017,3893,3552,,1865,117943,35261,24434,27108,3620,15434,1381,9883,,821,174159,171318,2488,,353,,15286,1132,4115,1299,433,1735,,728,,5844,114188,101053,8479,1102,1317,118,,2119,,,34118,2232,,535,,10666,20685,,,Jura
2005,819910,38501,3248,35253,,,40502,19303,8780,2084,9265,,1070,,187147,91599,4965,44310,19138,5721,10542,,10873,17809,4147,4654,633,4782,3592,,85879,76421,3123,3425,,2910,119659,35762,23988,26781,3517,15234,1393,11712,,1272,166381,160936,5062,,383,,15463,872,3538,846,1035,2121,,963,,6087,111923,100122,7008,1135,1443,,,2214,,,36646,2233,,7199,,7841,19373,,,Jura
2006,825598,40790,3545,37245,,,40516,20025,8087,2128,9261,,1016,,188612,92319,5117,42415,21187,5521,11297,,10757,18316,4111,5188,584,4759,3675,,86172,76384,3622,3352,,2814,128039,36854,24327,29001,8180,14529,1454,12312,,1382,157406,152794,4217,,395,,16594,811,5307,935,518,2232,,783,,6008,112714,101656,7638,1109,1287,,,1023,,,36439,2739,,9151,,8378,16170,,,Jura
2007,861065,44341,3692,40649,,,40540,20254,8030,1750,9428,,1078,,191728,91998,4152,44836,21370,5925,11747,,11701,16809,3895,4356,135,4693,3730,,96640,87065,3519,3248,,2808,132302,36559,29981,29456,5370,14149,1328,14237,,1222,170900,167063,3463,,375,,17454,391,5093,883,705,2718,,983,,6681,114966,103486,7555,1099,1248,,,1578,,,35385,2407,,9683,,9008,14287,,,Jura
2008,754564,39441,3506,35934,,,42278,20659,8864,2168,9596,,990,,208447,94350,12406,40017,21815,1823,31889,,6147,18343,5890,4447,148,4019,3839,,94386,83570,3865,4465,,2487,126450,36968,28768,27696,6577,7674,1369,16415,,983,59356,46461,12896,,,,12945,1142,3930,1078,259,3122,,882,,2532,125619,101689,9068,1291,1291,11066,,1215,,,27299,3304,,10009,,950,13036,,,Jura
2009,786932,39390,3445,35945,,,48643,26475,9081,2654,9539,,894,,216366,95484,13726,39940,25924,1510,33140,,6643,18836,5218,4922,462,4397,3837,,95107,83624,4130,4987,,2365,127981,37520,30137,27707,6018,8234,1200,16433,,732,58679,48063,10616,,,,13910,1508,2948,933,667,3765,,781,,3308,139007,113442,6914,1314,2284,12766,,2119,,168,29013,3259,,15217,,577,9960,,,Jura
2010,935272,41267,3745,37521,,,50562,26634,9479,2775,10762,,912,,215424,96112,13700,42545,20110,1747,34692,,6520,19806,5219,5220,781,4690,3895,,97694,85927,4346,4741,,2680,133245,39224,29625,28123,7628,9145,1263,17263,,973,193374,183333,9796,245,,,17536,1592,3813,1529,907,4442,,970,,4284,142034,113931,6156,1592,1953,16035,,2367,,,24330,4151,,10394,,615,9170,,,Jura
2011,966522,44789,3534,41255,,,47847,21634,11274,3657,10432,,849,,224237,98056,15397,45780,19189,1670,37041,,7104,20522,5271,6044,315,5038,3853,,103027,89114,6898,4286,,2729,137789,41191,30474,30263,7416,8541,1261,18241,,402,198363,187186,11047,130,,,21411,2121,2934,1934,3771,5853,988,852,,2959,143537,112659,8145,1586,2174,17201,,1772,,,25000,4146,,12109,,583,8162,,,Jura
2012,961963,45741,3582,40478,1681,,50811,21969,12968,3516,10589,,1769,,227983,102019,11065,46324,21889,1037,37311,,8338,28406,13270,6265,103,4774,3994,,115052,96391,12137,3680,,2844,137221,43347,35080,24999,5072,6302,1268,21151,,,168646,155830,12816,,,,22375,3667,1924,906,2864,6772,3095,374,,2773,141970,112866,6485,1499,2554,16022,,2543,,,23756,5517,,10632,,683,6924,,,Jura
2013,976068,46287,3799,40542,1946,,51610,22868,14475,3156,10196,,915,,229370,104003,11132,44286,23529,696,36844,,8880,28103,13494,5687,375,4633,3915,,122348,103797,11642,3843,,3067,145506,44518,36238,27238,5317,6122,1143,24929,,,165105,152206,12899,,,,24048,2131,1737,1247,1892,9076,2917,2289,,2758,142037,113923,7234,1238,2258,15771,,1613,,,21652,4972,,11109,,614,4957,,,Jura
2014,979907,47570,3812,41368,2390,,53839,22869,15307,3895,10403,,1365,,233012,103991,10858,43173,27845,742,37180,,9224,27077,13484,5162,233,4284,3914,,124700,104957,12438,3856,,3449,152988,44301,37022,29170,5707,6324,1104,29360,,,152361,139624,12737,,,,21116,3328,895,926,931,6177,4210,1799,,2851,142582,116569,6464,1306,1831,14111,,2301,,,24661,5006,,12177,,882,6596,,,Jura
2015,955187,47406,3627,41783,1996,,59903,23988,18455,5600,10686,,1174,,229377,102441,11084,42230,28225,669,35543,,9184,23698,10348,5324,283,3951,3792,,131844,112142,12419,3890,,3392,154527,44714,36760,30562,5387,6241,1051,29811,,,123228,110716,12503,9,,,19198,1596,1693,901,914,7218,2619,489,,3769,140920,115160,6642,1271,1788,14033,,2025,,,25087,5210,,12399,,526,6952,,,Jura
2016,931574,46913,3487,41622,1804,,56195,24177,14164,5187,11159,,1507,,231122,102658,10516,43847,27180,805,36976,,9140,24494,9735,6912,192,3960,3695,,131769,110171,14365,3685,,3548,165118,45852,38165,32432,5724,7361,1032,34553,,,88955,70656,18290,8,,,18424,1275,1232,857,578,6428,2257,1137,,4660,141024,115239,6553,1235,2193,14265,,1539,,,27560,6355,,13583,,663,6959,,,Jura
2017,920413,48030,3037,44108,884,,59217,25622,14442,5996,11564,,1593,,225241,104041,10472,42757,20884,2018,37080,,7989,23519,9669,5188,249,5605,2807,,130650,109260,13514,4095,,3781,177258,49952,41592,35357,6535,10004,1039,32778,,,73962,54171,19783,8,,,20724,2047,450,859,3506,6830,2713,93,,4226,137998,115172,5839,1161,1719,11922,,2184,,,23814,5038,,10907,,807,7062,,,Jura
